Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Assault Android Cactus,Witch Beam Games,,,,,23rd Sep 15,15,2015-09-23,2015-09-23,1896.0
Assault Gunners HD Edition,Unknown,,,,,,,,,
Astebreed Read the review,Unknown,9.0,,,,,,,,
Asterix & Obelix XXL 3: The Crystal Menhir,Microids,,,,,21st Nov 19,19,2019-11-21,2019-11-21,376.0
Astro Bears Party,QubicGames,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Astro Duel Deluxe,Panic Button,,,,,30th May 17,17,2017-05-30,2017-05-30,1281.0
At Sundown: Shots in the Dark Read the review,Versus Evil,6.0,,,,22nd Jan 19,19,2019-01-22,2019-01-22,679.0
Atelier Lulua: The Scion of Arland,Koei Tecmo,,,,,24th May 19,19,2019-05-24,2019-05-24,557.0
Atelier Ryza: Ever Darkness & the Secret Hideout,Koei Tecmo,,,,,29th Oct 19,19,2019-10-29,2019-10-29,399.0
ATOMIK: RunGunJumpGun,Gambitious,,,,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
Attack on Titan 2: Final Battle,Koei Tecmo,,,,,05th Jul 19,19,2019-07-05,2019-07-05,515.0
AVICII Invector,Wired Productions,,,,,08th Sep 20,20,2020-09-08,2020-09-08,84.0
AWAY: Journey to the Unexpected,PLAYDIUS,,,,,30th Dec 18,18,2018-12-30,2018-12-30,702.0
Axiom Verge 2,Thomas Happ Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Azkend 2: The World Beneath,10tons,,,,,12th Jan 18,18,2018-01-12,2018-01-12,1054.0
Azure Striker Gunvolt 2,Inti Creates,,,,,31st Aug 17,17,2017-08-31,2017-08-31,1188.0
Azure Striker Gunvolt 3,Unknown,,,,,,,,,
Baba is You,Unknown,,,,,,,,,
Back to Bed,2Awesome Studio,,,,,11th Apr 19,19,2019-04-11,2019-04-11,600.0
Bad North,Raw Fury,,,,,01st Jul 18,18,2018-07-01,2018-07-01,884.0
Bakugan: Champions of Vestroia,Warner Bros. Interactive Entertainment,,,,,03rd Nov 20,20,2020-11-03,2020-11-03,28.0
Balan Wonderworld,Unknown,,,,,,,,,
Baldo,Unknown,,,,,,,,,
Baldur's Gate II: Enhanced Edition,Beamdog,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
Baldur's Gate: Enhanced Edition,Skybound Games,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
Baldur's Gate: Siege of Dragonspear,Beamdog,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
Banner of the Maid,CE-Asia,,,,,12th Aug 20,20,2020-08-12,2020-08-12,111.0
Banner Saga 3,Versus Evil,,,,,01st Jul 18,18,2018-07-01,2018-07-01,884.0
Bard's Gold,Pixel Lantern,,,,,05th Mar 19,19,2019-03-05,2019-03-05,637.0
Baseball Riot,10tons Ltd,,,,,19th Jan 18,18,2018-01-19,2018-01-19,1047.0
Battle Chef Brigade,Adult Swim,,7.5,,,20th Nov 17,17,2017-11-20,2017-11-20,1107.0
Battle Princess Madelyn,Casual Bit Games,,,,,19th Dec 18,18,2018-12-19,2018-12-19,713.0
Battle Worlds: Kronos,THQ Nordic,,,,,11th Jun 19,19,2019-06-11,2019-06-11,539.0
Bayonetta,Nintendo,,,,,16th Feb 18,18,2018-02-16,2018-02-16,1019.0
Bayonetta 3,Nintendo,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Beach Buggy Racing,Vector Unit,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
Bear and Breakfast,Unknown,,,,,,,,,
Bee Simulator,Unknown,,,,,,,,,
Binaries,Ant Workshop Ltd,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
BINGO for Nintendo Switch,Starsign,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Biohazard 7: Resident Evil - Cloud Version,Capcom,,,,,24th May 18,18,2018-05-24,2018-05-24,922.0
Biomutant,Unknown,,,,,,,,,
BioShock: The Collection,2K Games,,,,,29th May 20,20,2020-05-29,2020-05-29,186.0
Biped,bilibili,,,,,21st May 20,20,2020-05-21,2020-05-21,194.0
Bit Dungeon Plus,Dolores Entertainment SL,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
Bite the Bullet,Graffiti,,,,,13th Aug 20,20,2020-08-13,2020-08-13,110.0
Black Book,HypeTrain Digital,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Black Hole,Dufgames,,,,,06th Feb 18,18,2018-02-06,2018-02-06,1029.0
Black The Fall,Sand Sailor Studio,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Blade Arcus Rebellion from Shining,Sega,,,,,14th Mar 19,19,2019-03-14,2019-03-14,628.0
Blair Witch,Unknown,,,,,,,,,
Blasphemous,Team 17,,,8.0,,10th Sep 19,19,2019-09-10,2019-09-10,448.0
Blaster Master Zero,Inti Creates,,,,,09th Mar 17,17,2017-03-09,2017-03-09,1363.0
Blaster Master Zero 2 Read the review,Inti Creates,7.0,,,,19th Mar 19,19,2019-03-19,2019-03-19,623.0
BlazBlue: Central Fiction,Aksys Games,,,,,07th Feb 19,19,2019-02-07,2019-02-07,663.0
Blazing Beaks,Applava,,,,,10th May 19,19,2019-05-10,2019-05-10,571.0
Blazing Chrome Read the review,The Arcade Crew,8.0,,,,11th Jul 19,19,2019-07-11,2019-07-11,509.0
Bleed,Digerati,,,8.3,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Bleed 2 Read the review,Digerati,5.0,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
Bloodstained: Curse of the Moon Read the review,Inti Creates,7.0,,,,24th May 18,18,2018-05-24,2018-05-24,922.0
Bloodstained: Curse of the Moon 2 Read the review,Inti Creates,8.0,,,,10th Jul 20,20,2020-07-10,2020-07-10,144.0
Bloodstained: Ritual of the Night,"505 Games US, Inc.",,,,,25th Jun 19,19,2019-06-25,2019-06-25,525.0
Bloody Zombies,nDreams,,,,,23rd Dec 17,17,2017-12-23,2017-12-23,1074.0
Blossom Tales: The Sleeping King,FDG Entertainment,,,10.0,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Blue Fire,Graffiti,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Bokuhime Project,Nippon Ichi Software,,,,,23rd Apr 20,20,2020-04-23,2020-04-23,222.0
Bomb Chicken,Nitrome,,,,,01st Jul 18,18,2018-07-01,2018-07-01,884.0
Bomber Crew,Merge Games,,,,,12th Mar 19,19,2019-03-12,2019-03-12,630.0
Bombslinger,Plug In Digital,,,,,11th Apr 18,18,2018-04-11,2018-04-11,965.0
Bookbound Brigade,Intragames,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Boost Beast,Arc System Works,,,,,20th Jul 17,17,2017-07-20,2017-07-20,1230.0
Borderlands Legendary Collection,Take-Two Interactive,,,,,29th May 20,20,2020-05-29,2020-05-29,186.0
Boreal Blade,Unknown,,,,,,,,,
Bouncy Bullets,Ratalaika Games,,,,,12th Jul 19,19,2019-07-12,2019-07-12,508.0
Bounty Battle Read the review,Unknown,5.0,,,,,,,,
BOX BOY! + BOX GIRL!,Nintendo,,,,,26th Apr 19,19,2019-04-26,2019-04-26,585.0
Boyfriend Dungeon,Kitfox Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Brave Dungeon + Dark Witch's Story: COMBAT,Inside System,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Bravely Default II,Nintendo,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Brawl,QubicGames,,,,,12th Jan 18,18,2018-01-12,2018-01-12,1054.0
Breathing Fear,Qubic Games,,,,,06th Dec 19,19,2019-12-06,2019-12-06,361.0
Bridge Constructor Portal,Headup Games,,,,,28th Feb 18,18,2018-02-28,2018-02-28,1007.0
Brigandine: The Legend of Runersia,Happinet,,,,,25th Jun 20,20,2020-06-25,2020-06-25,159.0
Broforce,Devolver Digital,,,,,06th Sep 18,18,2018-09-06,2018-09-06,817.0
Broken Delusion,bilibili,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Broken Sword 5: The Serpent's Curse Read the review,Revolution Software,7.0,,,,21st Sep 18,18,2018-09-21,2018-09-21,802.0
Brothers: A Tale of Two Sons,505 Games,,,,,28th May 19,19,2019-05-28,2019-05-28,553.0
Bubble Bobble 4 Friends,ININ Games,,,,,31st Mar 20,20,2020-03-31,2020-03-31,245.0
Bubsy: Paws on Fire!,Accolade,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Bulb Boy,Bulbware,,,,,06th Jul 17,17,2017-07-06,2017-07-06,1244.0
Bulletstorm: Duke of Switch Edition,Unknown,,,,,,,,,
BurgerTime Party!,Xseed Games,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Burnout Paradise Remastered,Electronic Arts,,,,,19th Jun 20,20,2020-06-19,2020-06-19,165.0
"Bury Me, My Love",Plug In Digital,,,,,10th Jan 19,19,2019-01-10,2019-01-10,691.0
Butcher,Crunching Koalas,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Cadence of Hyrule - Crypt of the NecroDancer feat. The Legend of Zelda,Nintendo,,9.5,,,13th Jun 19,19,2019-06-13,2019-06-13,537.0
Cake Bash Read the review,Unknown,5.0,,,,,,,,
Cannibal Cuisine,Rocket Vulture,,,,,20th May 20,20,2020-05-20,2020-05-20,195.0
Captain Tsubasa: Rise of New Champions,Bandai Namco Entertainment,,,,,28th Aug 20,20,2020-08-28,2020-08-28,95.0
Carcassonne,Asmodee Digital,,,,,06th Dec 18,18,2018-12-06,2018-12-06,726.0
Cardfight!! Vanguard EX,FuRyu Corporation,,,,,19th Sep 19,19,2019-09-19,2019-09-19,439.0
Carrion,Devolver Digital,,,,,23rd Jul 20,20,2020-07-23,2020-07-23,131.0
Castle Crashers Remastered,Unknown,,,,,,,,,
Castle of Heart,7Levels,,,,,23rd Mar 18,18,2018-03-23,2018-03-23,984.0
Castlevania Anniversary Collection Read the review,Konami,7.0,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Cat Girl Without Salad: Amuse-Bouche Read the review,Unknown,4.0,,,,,,,,
Catan Universe,Asmodee Digital,,,,,31st Dec 19,19,2019-12-31,2019-12-31,336.0
Catherine: Full Body,Atlus,,,,,07th Jul 20,20,2020-07-07,2020-07-07,147.0
Caveman Warriors,JanduSoft S.L.,,,,,05th Dec 17,17,2017-12-05,2017-12-05,1092.0
Cecile,Unknown,,,,,,,,,
Celeste Read the review,Matt Makes Games Inc.,9.0,9.3,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Chess Ultra,Ripstone,,,,,02nd Nov 17,17,2017-11-02,2017-11-02,1125.0
Child of Light,Unknown,,,,,,,,,
Children of Morta Read the review,11 bit studios,7.0,,,,15th Oct 19,19,2019-10-15,2019-10-15,413.0
Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,,,,,20th Mar 19,19,2019-03-20,2019-03-20,622.0
ChromaGun,Pixel Maniacs,,,,,22nd Jan 18,18,2018-01-22,2018-01-22,1044.0
Chronos: Before the Ashes,THQ Nordic,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Circuit Superstars,Unknown,,,,,,,,,
Cities: Skylines,Paradox Interactive,,,,,14th Sep 18,18,2018-09-14,2018-09-14,809.0
Citizens of Space,Unknown,,,,,,,,,
Clannad,Prototype,,,,,04th Jul 19,19,2019-07-04,2019-07-04,516.0
Clock Zero: Shuuen no Ichibyou Devote,Idea Factory,,,,,27th Jun 19,19,2019-06-27,2019-06-27,523.0
Clockwork Aquario,Unknown,,,,,,,,,
Cloudpunk,Maple Whispering Limited,,,,,15th Oct 20,20,2020-10-15,2020-10-15,47.0
ClusterPuck 99 Read the review,Coatsink Software,6.0,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
Clustertruck Read the review,TinyBuild Games,5.0,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Cobra Kai: The Karate Kid Saga Continues,GameMill Entertainment,,,,,27th Oct 20,20,2020-10-27,2020-10-27,35.0
Code Shifter,Arc System Works,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Coffin Dodgers,Wales Interactive Ltd.,,,,,13th Mar 18,18,2018-03-13,2018-03-13,994.0
Collar x Malice,Aksys Games,,,,,25th Jun 20,20,2020-06-25,2020-06-25,159.0
Collar x Malice: Unlimited,Aksys Games,,,,,13th Aug 20,20,2020-08-13,2020-08-13,110.0
Collection of Mana,Square Enix,,,,,11th Jun 19,19,2019-06-11,2019-06-11,539.0
Collection of SaGa: Final Fantasy Legend,Square Enix,,,,,15th Dec 20,20,2020-12-15,2020-12-15,-14.0
Conan Chop Chop,Unknown,,,,,,,,,
Conga Master Party!,Undercoders,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Contra Anniversary Collection Read the review,Konami,7.0,,,,11th Jun 19,19,2019-06-11,2019-06-11,539.0
Contra: Rogue Corps,Konami,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
"Cook, Serve, Delicious! 2!!",Vertigo Games,,,,,10th Apr 19,19,2019-04-10,2019-04-10,601.0
"Cook, Serve, Delicious! 3?!",Vertigo Gaming Inc.,,,,,14th Oct 20,20,2020-10-14,2020-10-14,48.0
Cooking Mama: CookStar,Unknown,,,,,,,,,
Corpse Party: Blood Drive,Xseed Games,,,,,10th Oct 19,19,2019-10-10,2019-10-10,418.0
Crash Team Racing Nitro-Fueled,Activision,,,,,21st Jun 19,19,2019-06-21,2019-06-21,529.0
Crawl,Powerhoof Pty Ltd,,,,,19th Dec 17,17,2017-12-19,2017-12-19,1078.0
Creature in the Well Read the review,Unknown,7.0,,,,,,,,
Cricket 19 - The Official Game of the Ashes,Big Ant Studios,,,,,31st May 19,19,2019-05-31,2019-05-31,550.0
Crimsonland,10tons Ltd,,,,,24th Nov 17,17,2017-11-24,2017-11-24,1103.0
Cris Tales,Modus Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Croixleur Sigma Read the review,Unknown,6.0,,,,,,,,
CrossCode Read the review,Deck 13,8.0,,,,09th Jul 20,20,2020-07-09,2020-07-09,145.0
Crown Trick,Team17,,,,,16th Oct 20,20,2020-10-16,2020-10-16,46.0
Crypt of the NecroDancer: Nintendo Switch Edition,Brace Yourself Games,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
Crysis Remastered,Crytek,,,,,23rd Jul 20,20,2020-07-23,2020-07-23,131.0
Crystal Crisis Read the review,Nicalis,6.0,,,,21st Mar 19,19,2019-03-21,2019-03-21,621.0
Cuphead,Studio MDHR,,,,,18th Apr 19,19,2019-04-18,2019-04-18,593.0
Cupid Parasite,Idea Factory,,,,,20th Aug 20,20,2020-08-20,2020-08-20,103.0
Curse of the Sea Rats,Petoons Studio,,,,,01st May 21,21,2021-05-01,2021-05-01,-151.0
Cyber Hook,Unknown,,,,,,,,,
Cyber Shadow,Yacht Club Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Cytus Alpha,PM Studios,,,,,23rd Apr 19,19,2019-04-23,2019-04-23,588.0
D/Generation HD,West Coast Software,,,,,27th Mar 18,18,2018-03-27,2018-03-27,980.0
Daemon X Machina,Nintendo,,,,,13th Sep 19,19,2019-09-13,2019-09-13,445.0
Damascus Gear: Operation Tokyo,Arc System Works,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Dandara,Raw Fury,,,,,06th Feb 18,18,2018-02-06,2018-02-06,1029.0
Dangerous Driving 2,Three Fields Entertainment,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Danmaku Unlimited 3,Doragon Entertainment,,,,,13th Mar 18,18,2018-03-13,2018-03-13,994.0
Darius Cozmic Collection Arcade Read the review,Unknown,8.0,,,,,,,,
Darius Cozmic Collection Console Read the review,Unknown,6.0,,,,,,,,
Darius Cozmic Revelation,Unknown,,,,,,,,,
Darius: Cozmic Collection,Taito,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Dark Devotion,Unknown,,,,,,,,,
Dark Witch Music Episode: Rudymical,Flyhigh Works,,,,,11th May 17,17,2017-05-11,2017-05-11,1300.0
Darkest Dungeon 2,Merge Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Darksiders Genesis,THQ Nordic,,,,,14th Feb 20,20,2020-02-14,2020-02-14,291.0
Darksiders II: Deathinitive Edition,THQ Nordic,,,,,26th Sep 19,19,2019-09-26,2019-09-26,432.0
Darksiders: Warmastered Edition,THQ Nordic,,,,,02nd Apr 19,19,2019-04-02,2019-04-02,609.0
Darkwood,Crunching Koalas,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Dauntless,Phoenix Labs,,,,,10th Dec 19,19,2019-12-10,2019-12-10,357.0
de Blob,Unknown,,,,,,,,,
De Mambo,The Dangerous Kitchen,,,,,13th Jul 17,17,2017-07-13,2017-07-13,1237.0
Dead by Daylight,Koch Media,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
Dead or Alive Xtreme 3: Scarlet,Koei Tecmo,,,,,20th Mar 19,19,2019-03-20,2019-03-20,622.0
Dead or School,Unknown,,,,,,,,,
Dead Synchronicity: Tomorrow Comes Today,Badland Studio,,,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Deadly Premonition 2: A Blessing in Disguise Read the review,Rising Star Games,3.0,,,,10th Jul 20,20,2020-07-10,2020-07-10,144.0
Deadly Premonition Origins,Toybox,,,,,05th Sep 20,20,2020-09-05,2020-09-05,87.0
Dear Magi: Magical Boy's Department,CaeruX,,,,,06th Jun 19,19,2019-06-06,2019-06-06,544.0
Death Come True,Izanagi Games,,,,,25th Jun 20,20,2020-06-25,2020-06-25,159.0
Death Coming,Zodiac Interactive,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Death Road to Canada Read the review,Unknown,6.0,,,,,,,,
Death Squared,SMG Studio,,,,,13th Jul 17,17,2017-07-13,2017-07-13,1237.0
Decay of Logos,Rising Star Games,,,,,29th Aug 19,19,2019-08-29,2019-08-29,460.0
Deep Ones,Flyhigh Works,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Defoliation,Cosen,,,5.0,,31st May 18,18,2018-05-31,2018-05-31,915.0
Degrees of Separation Read the review,Unknown,5.0,,,,,,,,
DELTARUNE,8-4,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Demon Turf,Fabraz,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Descent (2019),Unknown,,,,,,,,,
Desert Child,Akupara Games,,,,,11th Dec 18,18,2018-12-11,2018-12-11,721.0
Destiny Connect: Tick Tock Travelers,NIS America,,,,,22nd Oct 19,19,2019-10-22,2019-10-22,406.0
Detention,Coconut Island Games,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Devil May Cry,Capcom,,,,,01st Oct 19,19,2019-10-01,2019-10-01,427.0
Devil May Cry 3 Special Edition Read the review,Unknown,8.0,,,,,,,,
Devil’s Hunt,1C Company,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Diabolik Lovers: Chaos Lineage,Idea Factory,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Die for Valhalla! Read the review,Unknown,6.0,,,,,,,,
Digimon Story: Cyber Sleuth Complete Edition,Bandai Namco Entertainment,,,8.0,,18th Oct 19,19,2019-10-18,2019-10-18,410.0
Digimon Survive,Bandai Namco Entertainment,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Dimension Drive,2Awesome Studio,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Disaster Report 4 Plus: Summer Memories,NIS America,,,,,07th Apr 20,20,2020-04-07,2020-04-07,238.0
Disc Jam Read the review,High Horse Entertainment,5.0,,4.9,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
Disco Dodgeball Remix Read the review,Unknown,7.0,,,,,,,,
Disco Elysium,ZA/UM,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Disgaea 4 Complete+,NIS America,,,,,29th Oct 19,19,2019-10-29,2019-10-29,399.0
Disgaea 6: Defiance of Destiny,NIS America,,,,,01st Jul 21,21,2021-07-01,2021-07-01,-212.0
Disney Classic Games: Aladdin and The Lion King Read the review,Unknown,8.0,,,,,,,,
Disney Tsum Tsum Festival,Bandai Namco Entertainment,,,,,08th Nov 19,19,2019-11-08,2019-11-08,389.0
Divinity: Original Sin 2 - Definitive Edition,Larian Studios,,,,,04th Sep 19,19,2019-09-04,2019-09-04,454.0
Don't Knock Twice,Wales Interactive Ltd.,,,,,17th Oct 17,17,2017-10-17,2017-10-17,1141.0
Donut County,Annapurna Interactive,,,,,18th Dec 18,18,2018-12-18,2018-12-18,714.0
Doom,Bethesda Softworks,,,,,26th Jul 19,19,2019-07-26,2019-07-26,494.0
Doom 3,Bethesda Softworks,,,,,26th Jul 19,19,2019-07-26,2019-07-26,494.0
Doom 64,Bethesda Softworks,,,,,20th Mar 20,20,2020-03-20,2020-03-20,256.0
Doom Eternal,Bethesda Softworks,,,,,20th Dec 20,20,2020-12-20,2020-12-20,-19.0
Doom II,Bethesda Softworks,,,,,26th Jul 19,19,2019-07-26,2019-07-26,494.0
Doraemon: Nobita's Chronicle of the Moon Exploration,FuRyu Corporation,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Doraemon: Nobita's Story of Seasons,Bandai Namco,,,,,11th Oct 19,19,2019-10-11,2019-10-11,417.0
Double Cross Read the review,Graffiti,6.0,,,,10th Jan 19,19,2019-01-10,2019-01-10,691.0
Double Dragon & Kunio-kun: Retro Brawler Bundle Read the review,Unknown,7.0,,,,,,,,
Double Dragon 4,Arc System Works,,,,,07th Sep 17,17,2017-09-07,2017-09-07,1181.0
Down to Hell Read the review,Unknown,2.0,,,,,,,,
Downwell,Unknown,,,,,,,,,
Dr Kawashima's Brain Training for Nintendo Switch,Nintendo,,,,,03rd Jan 20,20,2020-01-03,2020-01-03,333.0
DragoDino,Plug In Digital,,,,,27th Apr 18,18,2018-04-27,2018-04-27,949.0
Dragon Blaze,Unknown,,,,,,,,,
Dragon Quest,Square Enix,,,,,27th Sep 19,19,2019-09-27,2019-09-27,431.0
Dragon Quest II,Square Enix,,,,,27th Sep 19,19,2019-09-27,2019-09-27,431.0
Dragon Quest III,Square Enix,,,,,27th Sep 19,19,2019-09-27,2019-09-27,431.0
Dragon Sinker,Kemco,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Dragon's Dogma: Dark Arisen,Capcom,,,,,23rd Apr 19,19,2019-04-23,2019-04-23,588.0
Dragon: Marked For Death Read the review,Inti Creates,6.0,,,,26th Feb 19,19,2019-02-26,2019-02-26,644.0
DragonFangZ - The Rose & Dungeon of Time,Toydea Inc.,,,,,19th Dec 17,17,2017-12-19,2017-12-19,1078.0
Dragons: Dawn of New Riders,Unknown,,,,,,,,,
Draw a Stickman: EPIC 2,Hitcents,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Publishing,,,,,23rd Jun 20,20,2020-06-23,2020-06-23,161.0
Dungeon of the Endless,Sega,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Dusk Diver,JFI Games,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Dust: An Elysian Tail,Humble Hearts,,,10.0,,10th Sep 18,18,2018-09-10,2018-09-10,813.0
Dustoff Heli Rescue 2,Rainy Frog,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Earth Atlantis,Headup Games,,,,,05th Oct 17,17,2017-10-05,2017-10-05,1153.0
Earth Defense Force: World Brothers,D3 Publisher,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Earth Wars,One or Eight Inc.,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Earthlock,Snowcastle Games,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
Eastward,Chucklefish,,,,,30th Dec 20,20,2020-12-30,2020-12-30,-29.0
EAT BEAT DEADSPIKE-san,Arc System Works,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
eBaseball Powerful Pro Baseball 2020,Konami Digital Entertainment,,,,,09th Jul 20,20,2020-07-09,2020-07-09,145.0
ELEA: Paradigm Shift,Unknown,,,,,,,,,
Elliot Quest,PlayEveryWare Games,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Embers of Mirrim,Creative Bytes Studios,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Empire of Sin,Paradox Interactive,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Enchanting Mahjong Match,D3Publisher,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Energy Balance,Sometimes You,,,,,16th Jan 18,18,2018-01-16,2018-01-16,1050.0
Energy Cycle,Evgeniy Kolpakov,,,,,25th Dec 17,17,2017-12-25,2017-12-25,1072.0
Energy Invasion,Evgeniy Kolpakov,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Enigmatis 2: The Mists Of Ravenwood,Artifex Mundi sp. z o.o.,,,8.0,,25th May 18,18,2018-05-25,2018-05-25,921.0
Escape Trick: 35 Fateful Enigmas,D3 Publisher,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Everspace,Unknown,,,,,,,,,
Evoland Legendary Edition,Unknown,,,,,,,,,
Exception Read the review,Traxmaster Software,7.0,,,,13th Aug 19,19,2019-08-13,2019-08-13,476.0
Exit the Gungeon,Devolver Digital,,,,,17th Mar 20,20,2020-03-17,2020-03-17,259.0
Fairy Tail,Koei Tecmo,,,,,31st Jul 20,20,2020-07-31,2020-07-31,123.0
Fall of Light,Unknown,,,,,,,,,
Fantasy Hero: Unsigned Legacy,Arc System Works,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Fantasy Strike,Sirlin Games,,,,,01st Jul 18,18,2018-07-01,2018-07-01,884.0
FAR: Lone Sails,Mixtvision,,,,,18th Aug 19,19,2019-08-18,2019-08-18,471.0
Farm Expert 2018,SimFabric,,,,,30th Mar 18,18,2018-03-30,2018-03-30,977.0
Farming Simulator & Hunting Simulator Bundle,Unknown,,,,,,,,,
Fast RMX,Shin'en,,,8.0,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Fate/Extella Link,Xseed Games,,,,,12th Mar 19,19,2019-03-12,2019-03-12,630.0
fault - milestone one,Sekai Project,,,,,03rd Oct 19,19,2019-10-03,2019-10-03,425.0
Fe,EA Originals,,,,,16th Feb 18,18,2018-02-16,2018-02-16,1019.0
Fear Effect Sedna,Square Enix,,,,,06th Mar 18,18,2018-03-06,2018-03-06,1001.0
Fell Seal: Arbiter's Mark Read the review,Unknown,7.0,,,,,,,,
Feudal Alloy,Attu Games,,,,,17th Jan 19,19,2019-01-17,2019-01-17,684.0
FIFA 20,EA Sports,,,,,27th Sep 19,19,2019-09-27,2019-09-27,431.0
FIFA 21,Electronic Arts,,,,,09th Oct 20,20,2020-10-09,2020-10-09,53.0
Fight Crab,Playism,,,,,15th Sep 20,20,2020-09-15,2020-09-15,77.0
Figment,Bedtime Digital Games,,,,,28th Jun 18,18,2018-06-28,2018-06-28,887.0
Final Fantasy Crystal Chronicles: Remastered Edition,Square Enix,,,,,27th Aug 20,20,2020-08-27,2020-08-27,96.0
Final Fantasy IX,Square Enix,,,7.0,,13th Feb 19,19,2019-02-13,2019-02-13,657.0
Final Fantasy VII,Square Enix,,,9.5,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
Final Fantasy VIII Remastered,Square Enix,,,,,03rd Sep 19,19,2019-09-03,2019-09-03,455.0
