Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Hello Neighbor,Gearbox Software,,,,,27th Jul 18,18,2018-07-27,2018-07-27,858.0
WWE 2K18,2K Sports,,,,,05th Dec 17,17,2017-12-05,2017-12-05,1092.0
Attack on Titan 2,Koei Tecmo,,7.0,,,20th Mar 18,18,2018-03-20,2018-03-20,987.0
Skylanders Imaginators,Activision,,6.9,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Dragon Quest Builders: Revive Alefgard,Square Enix,,8.0,,,09th Feb 18,18,2018-02-09,2018-02-09,1026.0
Fate/Extella: The Umbral Star,Xseed Games,,8.0,,,25th Jul 17,17,2017-07-25,2017-07-25,1225.0
Valkyria Chronicles 4,Sega,,8.6,,,25th Sep 18,18,2018-09-25,2018-09-25,798.0
Street Fighter 30th Anniversary Collection,Capcom,,8.5,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Sega Genesis Classics,Sega,,,,,07th Dec 18,18,2018-12-07,2018-12-07,725.0
Bendy and the Ink Machine,Rooster Teeth Games,,,,,20th Nov 18,18,2018-11-20,2018-11-20,742.0
Katamari Damacy Reroll,Bandai Namco Entertainment,,8.8,,,07th Dec 18,18,2018-12-07,2018-12-07,725.0
Axiom Verge,Thomas Happ Games,,7.5,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Sports Party,Ubisoft,,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Harvest Moon: Light of Hope,Natsume,,,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Xenoblade Chronicles 2: Torna ~ The Golden Country,Nintendo,,7.5,,,21st Sep 18,18,2018-09-21,2018-09-21,802.0
Cave Story+,Nicalis,,,,,20th Jun 17,17,2017-06-20,2017-06-20,1260.0
Hatsune Miku: Project Diva MegaMix Read the review,Sega,7.0,,,0.15m,15th May 20,20,2020-05-15,2020-05-15,200.0
Moonlighter Read the review,Merge Games,7.0,8.3,,0.15m,09th Nov 18,18,2018-11-09,2018-11-09,753.0
RiME,Grey Box,,4.5,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Gear.Club Unlimited,Microids,,6.1,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Has-Been Heroes,GameTrust,,4.8,,,28th Mar 17,17,2017-03-28,2017-03-28,1344.0
Dragon Quest Builders 2,Square Enix,,,,,12th Jul 19,19,2019-07-12,2019-07-12,508.0
South Park: The Fractured But Whole,Ubisoft,,9.5,9.5,,24th Apr 18,18,2018-04-24,2018-04-24,952.0
NBA 2K Playgrounds 2,2K Games,,,,,09th Nov 18,18,2018-11-09,2018-11-09,753.0
Nickelodeon Kart Racers,GameMill Entertainment,,2.0,,,23rd Oct 18,18,2018-10-23,2018-10-23,770.0
R.B.I. Baseball 18,MLB Advanced Media,,,,,20th Mar 18,18,2018-03-20,2018-03-20,987.0
Goosebumps: The Game,GameMill Entertainment,,,,,09th Oct 18,18,2018-10-09,2018-10-09,784.0
Paw Patrol on a Roll,Outright Games,,,,,23rd Oct 18,18,2018-10-23,2018-10-23,770.0
Little Dragons Café,Aksys Games,,7.0,,,24th Aug 18,18,2018-08-24,2018-08-24,830.0
Farming Simulator 17,Focus Home Interactive,,,,,07th Nov 17,17,2017-11-07,2017-11-07,1120.0
Shantae: Half-Genie Hero Read the review,Xseed Games,7.0,,,,08th May 18,18,2018-05-08,2018-05-08,938.0
Batman: A Telltale Game Series,Telltale Games,,,,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
"Snipperclips Plus: Cut It Out, Together!",Nintendo,,8.2,8.5,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Pro Yakyuu Famista Evolution,Bandai Namco Games,,,,,02nd Aug 18,18,2018-08-02,2018-08-02,852.0
The Snack World: Trejarers Gold,Level 5,,,,,14th Feb 20,20,2020-02-14,2020-02-14,291.0
Payday 2,505 Games,,5.0,,,27th Feb 18,18,2018-02-27,2018-02-27,1008.0
Party Planet,Mastiff,,,,,12th Dec 17,17,2017-12-12,2017-12-12,1085.0
Dead Cells Read the review,Merge Games,7.0,9.3,,,15th Aug 18,18,2018-08-15,2018-08-15,839.0
Namco Museum Arcade Pac,Bandai Namco Entertainment,,7.8,,,28th Sep 18,18,2018-09-28,2018-09-28,795.0
Wolfenstein II: The New Colossus,Bethesda Softworks,,8.3,,,29th Jun 18,18,2018-06-29,2018-06-29,886.0
Overcooked Special Edition,Team 17,,8.4,,,13th Feb 18,18,2018-02-13,2018-02-13,1022.0
Ys VIII: Lacrimosa of Dana,NIS America,,8.5,6.7,,26th Jun 18,18,2018-06-26,2018-06-26,889.0
Troll and I,Maximum Games,,,,,15th Aug 17,17,2017-08-15,2017-08-15,1204.0
Sumikko Gurashi: Sumikko Park e Youkoso,Nippon Columbia,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Dragon Quest Heroes I & II for Nintendo Switch,Square Enix,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Mutant Football League: Dynasty Edition,Nighthawk Interactive,,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Shining Resonance Refrain Read the review,Sega,6.0,,,,10th Jul 18,18,2018-07-10,2018-07-10,875.0
MXGP 3: The Official Motocross Videogame,Milestone S.r.l.,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Cartoon Network: Battle Crashers,GameMill Entertainment,,,,,31st Oct 17,17,2017-10-31,2017-10-31,1127.0
Ben 10 (2017),Outright Games,,,,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
R.B.I. Baseball 2017,MLB.com,,,,,05th Sep 17,17,2017-09-05,2017-09-05,1183.0
Monster Jam: Crush It,GameMill,,,,,31st Oct 17,17,2017-10-31,2017-10-31,1127.0
ARK: Survival Evolved,Studio Wildcard,,4.0,,,30th Nov 18,18,2018-11-30,2018-11-30,732.0
Seiken Densetsu Collection,Square Enix,,,,,01st Jun 17,17,2017-06-01,2017-06-01,1279.0
Bass Pro Shops: The Strike - Championship Edition,Planet Entertainment,,,,,09th Nov 18,18,2018-11-09,2018-11-09,753.0
Poi,Polykid,,5.0,,,01st Feb 17,17,2017-02-01,2017-02-01,1399.0
One Piece: Unlimited World Red Deluxe Edition,Namco Bandai Games,,,,,29th Sep 17,17,2017-09-29,2017-09-29,1159.0
Wild Guns Reloaded,Natsume,,,,,17th Apr 18,18,2018-04-17,2018-04-17,959.0
Cabela's The Hunt: Championship Edition Bundle,Planet Entertainment,,,,,09th Nov 18,18,2018-11-09,2018-11-09,753.0
Sushi Striker: The Way of Sushido,Nintendo,,7.9,,,08th Jun 18,18,2018-06-08,2018-06-08,907.0
Hello Neighbor: Hide & Seek,Gearbox Software,,,,,07th Dec 18,18,2018-12-07,2018-12-07,725.0
BlazBlue: Cross Tag Battle,Arc System Works,,8.0,,,05th Jun 18,18,2018-06-05,2018-06-05,910.0
